jugador_id,torneo_id,asistencia,origen,origen_lat,origen_lon,destino,destino_lat,destino_lon
152,112,1,Chañar Ladeado,-33.3244841,-62.0412914,3,-33.5356733,-61.1287133
152,113,1,Chañar Ladeado,-33.3244841,-62.0412914,2,-33.3751295,-61.7115049
152,114,1,Chañar Ladeado,-33.3244841,-62.0412914,19,-33.4583964,-61.4862572
152,117,1,Chañar Ladeado,-33.3244841,-62.0412914,8,-31.203066,-61.479862
152,120,1,Chañar Ladeado,-33.3244841,-62.0412914,20,-33.3244841,-62.0412914
152,126,1,Chañar Ladeado,-33.3244841,-62.0412914,15,-31.5901238,-60.7289541
152,129,1,Chañar Ladeado,-33.3244841,-62.0412914,9,-33.125976,-62.0942234
152,131,1,Chañar Ladeado,-33.3244841,-62.0412914,2,-33.3751295,-61.7115049
152,132,1,Chañar Ladeado,-33.3244841,-62.0412914,6,-33.700647,-61.6136698
152,133,1,Chañar Ladeado,-33.3244841,-62.0412914,2,-33.3751295,-61.7115049
152,134,1,Chañar Ladeado,-33.3244841,-62.0412914,19,-33.4583964,-61.4862572
152,136,1,Chañar Ladeado,-33.3244841,-62.0412914,11,-33.7447968,-61.9744751
154,114,1,Arroyo Seco,-33.1528278,-60.5870722,20,-33.3244841,-62.0412914
154,116,1,Arroyo Seco,-33.1528278,-60.5870722,1,-33.5659426,-62.8847199
154,117,1,Arroyo Seco,-33.1528278,-60.5870722,15,-31.5901238,-60.7289541
154,118,1,Arroyo Seco,-33.1528278,-60.5870722,6,-33.700647,-61.6136698
154,120,1,Arroyo Seco,-33.1528278,-60.5870722,2,-33.3751295,-61.7115049
154,126,1,Arroyo Seco,-33.1528278,-60.5870722,15,-31.5901238,-60.7289541
154,127,1,Arroyo Seco,-33.1528278,-60.5870722,15,-31.5901238,-60.7289541
154,129,1,Arroyo Seco,-33.1528278,-60.5870722,9,-33.125976,-62.0942234
154,131,1,Arroyo Seco,-33.1528278,-60.5870722,2,-33.3751295,-61.7115049
154,132,1,Arroyo Seco,-33.1528278,-60.5870722,6,-33.700647,-61.6136698
154,133,1,Arroyo Seco,-33.1528278,-60.5870722,2,-33.3751295,-61.7115049
154,134,1,Arroyo Seco,-33.1528278,-60.5870722,19,-33.4583964,-61.4862572
154,135,1,Arroyo Seco,-33.1528278,-60.5870722,1,-33.5659426,-62.8847199
154,136,1,Arroyo Seco,-33.1528278,-60.5870722,11,-33.7447968,-61.9744751
155,110,1,Paraná,-31.743465,-60.508353,11,-33.7447968,-61.9744751
155,136,1,Paraná,-31.743465,-60.508353,11,-33.7447968,-61.9744751
163,114,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
163,118,1,Los Quirquinchos,-33.3751295,-61.7115049,16,-33.7459475,-61.9638895
163,120,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
163,131,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
163,132,1,Los Quirquinchos,-33.3751295,-61.7115049,3,-33.5356733,-61.1287133
163,134,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
168,112,1,Elortondo,-33.7011985,-61.6160889,3,-33.5356733,-61.1287133
168,117,1,Elortondo,-33.7011985,-61.6160889,8,-31.203066,-61.479862
168,118,1,Elortondo,-33.7011985,-61.6160889,6,-33.700647,-61.6136698
168,120,1,Elortondo,-33.7011985,-61.6160889,20,-33.3244841,-62.0412914
168,127,1,Elortondo,-33.7011985,-61.6160889,15,-31.5901238,-60.7289541
168,129,1,Elortondo,-33.7011985,-61.6160889,9,-33.125976,-62.0942234
168,131,1,Elortondo,-33.7011985,-61.6160889,2,-33.3751295,-61.7115049
168,132,1,Elortondo,-33.7011985,-61.6160889,6,-33.700647,-61.6136698
168,133,1,Elortondo,-33.7011985,-61.6160889,2,-33.3751295,-61.7115049
168,134,1,Elortondo,-33.7011985,-61.6160889,19,-33.4583964,-61.4862572
168,135,1,Elortondo,-33.7011985,-61.6160889,1,-33.5659426,-62.8847199
168,136,1,Elortondo,-33.7011985,-61.6160889,11,-33.7447968,-61.9744751
170,113,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
170,114,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
170,116,1,Los Quirquinchos,-33.3751295,-61.7115049,1,-33.5659426,-62.8847199
170,117,1,Los Quirquinchos,-33.3751295,-61.7115049,8,-31.203066,-61.479862
170,118,1,Los Quirquinchos,-33.3751295,-61.7115049,6,-33.700647,-61.6136698
170,120,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
170,129,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
170,131,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
170,132,1,Los Quirquinchos,-33.3751295,-61.7115049,6,-33.700647,-61.6136698
170,133,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
170,134,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
170,135,1,Los Quirquinchos,-33.3751295,-61.7115049,1,-33.5659426,-62.8847199
170,136,1,Los Quirquinchos,-33.3751295,-61.7115049,11,-33.7447968,-61.9744751
176,126,1,Paraná,-31.743465,-60.508353,12,-31.724134,-60.5364805
178,113,1,Camilo Aldao,-33.1263187,-62.095867,2,-33.3751295,-61.7115049
178,120,1,Camilo Aldao,-33.1263187,-62.095867,20,-33.3244841,-62.0412914
178,129,1,Camilo Aldao,-33.1263187,-62.095867,9,-33.125976,-62.0942234
178,132,1,Camilo Aldao,-33.1263187,-62.095867,6,-33.700647,-61.6136698
185,110,1,Venado Tuerto,-33.7455566,-61.9690161,11,-33.7447968,-61.9744751
185,113,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
185,126,1,Venado Tuerto,-33.7455566,-61.9690161,15,-31.5901238,-60.7289541
185,131,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
185,136,1,Venado Tuerto,-33.7455566,-61.9690161,11,-33.7447968,-61.9744751
188,131,1,Paraná,-31.743465,-60.508353,19,-33.4583964,-61.4862572
188,135,1,Paraná,-31.743465,-60.508353,1,-33.5659426,-62.8847199
194,117,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
194,127,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
195,117,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
195,127,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
200,110,1,Venado Tuerto,-33.7455566,-61.9690161,11,-33.7447968,-61.9744751
200,129,1,Venado Tuerto,-33.7455566,-61.9690161,9,-33.125976,-62.0942234
200,136,1,Venado Tuerto,-33.7455566,-61.9690161,11,-33.7447968,-61.9744751
205,112,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
205,113,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
205,114,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
205,116,1,Los Quirquinchos,-33.3751295,-61.7115049,1,-33.5659426,-62.8847199
205,120,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
205,126,1,Los Quirquinchos,-33.3751295,-61.7115049,12,-31.724134,-60.5364805
205,129,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
205,131,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
205,132,1,Los Quirquinchos,-33.3751295,-61.7115049,3,-33.5356733,-61.1287133
205,134,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
205,135,1,Los Quirquinchos,-33.3751295,-61.7115049,1,-33.5659426,-62.8847199
205,136,1,Los Quirquinchos,-33.3751295,-61.7115049,16,-33.7459475,-61.9638895
206,127,1,Los Quirquinchos,-33.3751295,-61.7115049,15,-31.5901238,-60.7289541
206,132,1,Los Quirquinchos,-33.3751295,-61.7115049,6,-33.700647,-61.6136698
210,120,1,Rufino,-34.2632375,-62.712828,20,-33.3244841,-62.0412914
215,113,1,Chañar Ladeado,-33.3244841,-62.0412914,20,-33.3244841,-62.0412914
217,118,1,Elortondo,-33.7011985,-61.6160889,6,-33.700647,-61.6136698
218,114,1,Paraná,-31.743465,-60.508353,2,-33.3751295,-61.7115049
218,116,1,Paraná,-31.743465,-60.508353,1,-33.5659426,-62.8847199
218,126,1,Paraná,-31.743465,-60.508353,12,-31.724134,-60.5364805
218,135,1,Paraná,-31.743465,-60.508353,1,-33.5659426,-62.8847199
229,110,1,Carcaraña,-32.8571864,-61.1578169,7,-33.7233238,-62.2456286
229,114,1,Carcaraña,-32.8571864,-61.1578169,2,-33.3751295,-61.7115049
229,120,1,Carcaraña,-32.8571864,-61.1578169,19,-33.4583964,-61.4862572
232,110,1,Canals,-33.5641591,-62.9071176,11,-33.7447968,-61.9744751
